threshold,tp,fp,fn,tn,contacted,recall,precision,f1,net_value
0.5299999999999999,114,45,35,406,159,0.7651006711409396,0.7169811320754716,0.7402597402597403,82439.15399999998
0.5349999999999999,114,45,35,406,159,0.7651006711409396,0.7169811320754716,0.7402597402597403,82439.15399999998
0.5399999999999999,113,44,36,407,157,0.7583892617449665,0.7197452229299363,0.738562091503268,81806.79299999999
0.5449999999999999,112,41,37,410,153,0.7516778523489933,0.7320261437908496,0.7417218543046358,81474.43199999999
0.5499999999999999,112,41,37,410,153,0.7516778523489933,0.7320261437908496,0.7417218543046358,81474.43199999999
0.5549999999999999,112,39,37,412,151,0.7516778523489933,0.7417218543046358,0.7466666666666667,81774.43199999999
0.5599999999999999,112,39,37,412,151,0.7516778523489933,0.7417218543046358,0.7466666666666667,81774.43199999999
0.565,112,39,37,412,151,0.7516778523489933,0.7417218543046358,0.7466666666666667,81774.43199999999
0.57,111,38,38,413,149,0.7449664429530202,0.7449664429530202,0.7449664429530202,81142.07099999998
0.575,109,36,40,415,145,0.7315436241610739,0.7517241379310344,0.7414965986394558,79877.34899999999
0.58,109,36,40,415,145,0.7315436241610739,0.7517241379310344,0.7414965986394558,79877.34899999999
0.585,109,35,40,416,144,0.7315436241610739,0.7569444444444444,0.7440273037542662,80027.34899999999
0.59,109,35,40,416,144,0.7315436241610739,0.7569444444444444,0.7440273037542662,80027.34899999999
0.595,109,35,40,416,144,0.7315436241610739,0.7569444444444444,0.7440273037542662,80027.34899999999
0.6,109,35,40,416,144,0.7315436241610739,0.7569444444444444,0.7440273037542662,80027.34899999999
0.605,108,34,41,417,142,0.7248322147651006,0.7605633802816901,0.7422680412371134,79394.98799999998
0.61,108,32,41,419,140,0.7248322147651006,0.7714285714285715,0.7474048442906575,79694.98799999998
0.615,108,31,41,420,139,0.7248322147651006,0.7769784172661871,0.75,79844.98799999998
0.62,106,30,43,421,136,0.7114093959731543,0.7794117647058824,0.743859649122807,78430.26599999999
0.625,106,30,43,421,136,0.7114093959731543,0.7794117647058824,0.743859649122807,78430.26599999999
0.63,104,30,45,421,134,0.697986577181208,0.7761194029850746,0.734982332155477,76865.544
0.635,104,29,45,422,133,0.697986577181208,0.7819548872180451,0.7375886524822695,77015.544
0.6399999999999999,104,28,45,423,132,0.697986577181208,0.7878787878787878,0.7402135231316725,77165.544
0.6449999999999999,103,28,46,423,131,0.6912751677852349,0.7862595419847328,0.7357142857142858,76383.18299999999
0.6499999999999999,101,28,48,423,129,0.6778523489932886,0.7829457364341085,0.7266187050359713,74818.46099999998
0.6549999999999999,100,27,49,424,127,0.6711409395973155,0.7874015748031497,0.7246376811594203,74186.09999999999
0.6599999999999999,100,26,49,425,126,0.6711409395973155,0.7936507936507936,0.7272727272727273,74336.09999999999
0.6649999999999999,98,26,51,425,124,0.6577181208053692,0.7903225806451613,0.717948717948718,72771.37799999998
0.6699999999999999,98,26,51,425,124,0.6577181208053692,0.7903225806451613,0.717948717948718,72771.37799999998
